Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
05/10/14,Paris SG,Monaco,1.0,1.0,D,7.0,15.0,2.0,5.0,2.0,7.0,11.0,17.0,3.0,2.0,0.0,0.0
05/10/14,St Etienne,Toulouse,0.0,1.0,A,21.0,7.0,1.0,1.0,10.0,2.0,14.0,16.0,1.0,1.0,0.0,0.0
17/10/14,Lens,Paris SG,1.0,3.0,A,12.0,15.0,4.0,8.0,3.0,0.0,16.0,8.0,0.0,0.0,2.0,1.0
18/10/14,Lille,Guingamp,1.0,2.0,A,29.0,6.0,10.0,4.0,9.0,1.0,8.0,17.0,3.0,2.0,0.0,1.0
18/10/14,Lorient,St Etienne,0.0,1.0,A,3.0,15.0,1.0,6.0,3.0,7.0,13.0,15.0,2.0,2.0,0.0,0.0
18/10/14,Metz,Rennes,0.0,0.0,D,13.0,14.0,3.0,3.0,6.0,7.0,8.0,11.0,2.0,0.0,0.0,0.0
18/10/14,Monaco,Evian Thonon Gaillard,2.0,0.0,H,9.0,11.0,4.0,3.0,0.0,4.0,15.0,12.0,3.0,3.0,0.0,0.0
18/10/14,Nantes,Reims,1.0,1.0,D,10.0,12.0,4.0,6.0,3.0,2.0,12.0,14.0,2.0,4.0,0.0,0.0
18/10/14,Nice,Bastia,0.0,1.0,A,19.0,3.0,4.0,1.0,7.0,1.0,15.0,13.0,3.0,3.0,0.0,0.0
19/10/14,Bordeaux,Caen,1.0,1.0,D,12.0,11.0,1.0,4.0,5.0,6.0,12.0,20.0,2.0,3.0,0.0,0.0
19/10/14,Lyon,Montpellier,5.0,1.0,H,20.0,10.0,11.0,2.0,7.0,6.0,18.0,11.0,6.0,3.0,0.0,0.0
19/10/14,Marseille,Toulouse,2.0,0.0,H,15.0,7.0,5.0,1.0,9.0,3.0,17.0,22.0,2.0,3.0,0.0,0.0
24/10/14,Toulouse,Lens,0.0,2.0,A,16.0,7.0,4.0,2.0,15.0,2.0,8.0,10.0,1.0,2.0,0.0,0.0
25/10/14,Bastia,Monaco,1.0,3.0,A,9.0,17.0,5.0,8.0,4.0,5.0,12.0,19.0,3.0,2.0,0.0,0.0
25/10/14,Caen,Lorient,2.0,1.0,H,14.0,8.0,5.0,2.0,3.0,4.0,10.0,15.0,1.0,3.0,0.0,0.0
25/10/14,Evian Thonon Gaillard,Nantes,0.0,2.0,A,9.0,14.0,0.0,7.0,2.0,4.0,9.0,16.0,2.0,2.0,0.0,0.0
25/10/14,Paris SG,Bordeaux,3.0,0.0,H,11.0,8.0,5.0,1.0,5.0,4.0,16.0,11.0,2.0,0.0,1.0,1.0
25/10/14,Reims,Montpellier,1.0,0.0,H,12.0,13.0,1.0,5.0,5.0,6.0,15.0,12.0,3.0,0.0,0.0,0.0
26/10/14,Guingamp,Nice,2.0,7.0,A,14.0,13.0,5.0,10.0,5.0,7.0,12.0,15.0,0.0,1.0,0.0,0.0
26/10/14,Lyon,Marseille,1.0,0.0,H,10.0,11.0,5.0,4.0,3.0,3.0,25.0,19.0,1.0,3.0,0.0,0.0
26/10/14,Rennes,Lille,2.0,0.0,H,12.0,7.0,6.0,3.0,5.0,4.0,12.0,6.0,1.0,2.0,0.0,0.0
26/10/14,St Etienne,Metz,1.0,0.0,H,12.0,10.0,5.0,1.0,12.0,1.0,6.0,16.0,1.0,2.0,0.0,0.0
31/10/14,Monaco,Reims,1.0,1.0,D,12.0,7.0,5.0,1.0,6.0,5.0,9.0,15.0,1.0,2.0,0.0,0.0
01/11/14,Guingamp,Bastia,1.0,0.0,H,9.0,7.0,2.0,3.0,4.0,5.0,13.0,9.0,2.0,1.0,0.0,0.0
01/11/14,Lille,St Etienne,1.0,1.0,D,17.0,7.0,8.0,3.0,6.0,7.0,10.0,13.0,2.0,2.0,0.0,0.0
01/11/14,Lorient,Paris SG,1.0,2.0,A,17.0,12.0,5.0,8.0,2.0,4.0,15.0,17.0,2.0,0.0,0.0,0.0
01/11/14,Metz,Caen,3.0,2.0,H,11.0,12.0,4.0,3.0,0.0,5.0,15.0,6.0,2.0,0.0,0.0,1.0
01/11/14,Montpellier,Evian Thonon Gaillard,2.0,0.0,H,14.0,7.0,6.0,1.0,4.0,5.0,13.0,19.0,2.0,1.0,0.0,0.0
01/11/14,Nice,Lyon,1.0,3.0,A,9.0,16.0,3.0,8.0,5.0,5.0,15.0,19.0,3.0,2.0,0.0,0.0
02/11/14,Bordeaux,Toulouse,2.0,1.0,H,13.0,10.0,3.0,2.0,4.0,9.0,11.0,24.0,0.0,4.0,0.0,0.0
02/11/14,Marseille,Lens,2.0,1.0,H,14.0,15.0,5.0,4.0,9.0,2.0,12.0,16.0,2.0,1.0,1.0,0.0
02/11/14,Nantes,Rennes,1.0,1.0,D,12.0,2.0,3.0,1.0,6.0,2.0,12.0,18.0,3.0,3.0,0.0,0.0
07/11/14,Rennes,Lorient,1.0,0.0,H,8.0,6.0,3.0,2.0,1.0,3.0,16.0,12.0,3.0,3.0,0.0,0.0
08/11/14,Bastia,Montpellier,2.0,0.0,H,10.0,7.0,5.0,1.0,2.0,5.0,21.0,17.0,2.0,3.0,0.0,0.0
08/11/14,Caen,Nantes,1.0,2.0,A,13.0,7.0,5.0,3.0,10.0,1.0,9.0,12.0,0.0,3.0,0.0,0.0
08/11/14,Evian Thonon Gaillard,Nice,1.0,0.0,H,10.0,8.0,2.0,4.0,3.0,5.0,14.0,17.0,1.0,3.0,0.0,0.0
08/11/14,Lens,Bordeaux,1.0,2.0,A,8.0,12.0,2.0,3.0,6.0,2.0,10.0,10.0,2.0,3.0,0.0,0.0
08/11/14,Toulouse,Metz,3.0,0.0,H,11.0,12.0,4.0,2.0,6.0,2.0,18.0,18.0,1.0,1.0,0.0,0.0
09/11/14,Lyon,Guingamp,3.0,1.0,H,13.0,11.0,6.0,5.0,8.0,3.0,21.0,9.0,1.0,1.0,0.0,0.0
09/11/14,Paris SG,Marseille,2.0,0.0,H,21.0,17.0,10.0,2.0,6.0,8.0,15.0,12.0,1.0,0.0,0.0,1.0
09/11/14,Reims,Lille,2.0,0.0,H,18.0,9.0,11.0,2.0,9.0,3.0,15.0,16.0,2.0,3.0,0.0,1.0
09/11/14,St Etienne,Monaco,1.0,1.0,D,11.0,6.0,3.0,2.0,5.0,1.0,11.0,19.0,2.0,2.0,0.0,1.0
